#  time, acc(x, y, z), gyro(x, y, z)
9.271455, -8.983045, -0.191536, 0.775721, -0.000000, 0.111853, -0.123571
9.279525, -8.916007, -0.153229, 0.890643, 0.015979, 0.109722, -0.132093
9.283699, -8.896853, -0.153229, 0.909797, 0.069242, 0.108657, -0.138484
9.287368, -8.916007, -0.181959, 0.938527, 0.107592, 0.099070, -0.144876
9.291447, -8.963891, -0.220267, 0.852336, 0.152333, 0.090547, -0.149137
9.299709, -9.011775, -0.287304, 0.775721, 0.183225, 0.077764, -0.144876
9.303502, -9.021352, -0.325611, 0.737414, 0.206661, 0.060720, -0.136354
9.307177, -9.088389, -0.411803, 0.737414, 0.247141, 0.042611, -0.128897
9.311405, -9.097966, -0.450110, 0.699107, 0.264186, 0.035154, -0.113983
9.319450, -9.050082, -0.584185, 0.641646, 0.270577, 0.026632, -0.098004
9.323644, -8.944737, -0.603339, 0.660800, 0.264186, 0.027697, -0.089482
9.327315, -8.925584, -0.632069, 0.622492, 0.258859, 0.029827, -0.082025
9.335269, -8.829816, -0.651223, 0.593762, 0.241815, 0.042611, -0.069242
9.339437, -8.877700, -0.641646, 0.574608, 0.215183, 0.050067, -0.060720
9.343643, -8.848969, -0.612916, 0.507571, 0.191748, 0.062851, -0.050067
9.347318, -8.829816, -0.612916, 0.488417, 0.173638, 0.070307, -0.037284
9.355088, -8.801085, -0.536301, 0.478840, 0.148072, 0.078830, -0.024501
9.359451, -8.791509, -0.517148, 0.430956, 0.123571, 0.076699, -0.010653
9.363592, -8.743625, -0.450110, 0.450110, 0.122505, 0.066046, 0.006392
9.367262, -8.724471, -0.411803, 0.421380, 0.120375, 0.056459, 0.015979
9.375211, -8.667010, -0.344765, 0.430956, 0.125701, 0.030893, 0.031958
9.379386, -8.628703, -0.258574, 0.478840, 0.134223, 0.017044, 0.033023
9.383383, -8.619126, -0.210690, 0.488417, 0.147006, -0.011718, 0.029827
9.387049, -8.609550, -0.220267, 0.526724, 0.151268, -0.034088, 0.021305
9.395198, -8.705317, -0.172383, 0.708684, 0.165116, -0.044741, 0.027697
9.399575, -8.667010, -0.239420, 0.718261, 0.178964, -0.050067, 0.035154
9.403607, -8.638280, -0.201113, 0.699107, 0.192813, -0.056459, 0.037284
9.407014, -8.599973, -0.181959, 0.699107, 0.204531, -0.061785, 0.028762
9.415189, -8.542512, -0.124498, 0.622492, 0.197074, -0.062851, 0.023436
9.419530, -8.523358, -0.095768, 0.565032, 0.192813, -0.062851, 0.001065
9.423334, -8.552089, -0.067038, 0.497994, 0.152333, -0.059655, -0.007457
9.426998, -8.599973, -0.038307, 0.469264, 0.118244, -0.050067, -0.021305
9.435169, -8.686164, -0.009577, 0.440533, 0.085221, -0.042611, -0.028762
9.439321, -8.657434, 0.057461, 0.440533, 0.043676, -0.027697, -0.034088
9.443516, -8.638280, 0.076614, 0.536301, 0.011718, -0.018109, -0.030893
9.447156, -8.638280, 0.076614, 0.536301, -0.013848, -0.011718, -0.041545
9.455004, -8.609550, 0.181959, 0.670376, -0.029827, -0.013848, -0.045806
9.459282, -8.609550, 0.210690, 0.737414, -0.027697, -0.011718, -0.063916
9.463476, -8.580819, 0.229843, 0.775721, -0.019175, -0.015979, -0.076699
9.467144, -8.561666, 0.229843, 0.814029, -0.014914, -0.014914, -0.091613
9.475120, -8.542512, 0.201113, 0.957681, -0.003196, -0.014914, -0.115049
9.479469, -8.571242, 0.181959, 0.976834, 0.014914, 0.006392, -0.134223
9.483263, -8.561666, 0.162806, 0.967257, 0.030893, 0.022371, -0.143811
9.486939, -8.580819, 0.105345, 0.928950, 0.037284, 0.040480, -0.154463
9.495109, -8.561666, 0.057461, 0.823605, 0.040480, 0.056459, -0.162985
9.499424, -8.561666, 0.047884, 0.708684, 0.047937, 0.073503, -0.172573
9.503229, -8.504205, 0.019154, 0.612916, 0.053263, 0.082025, -0.183225
9.506895, -8.456321, -0.028730, 0.440533, 0.042611, 0.080960, -0.193878
9.515145, -8.398860, -0.076614, 0.162806, 0.027697, 0.067112, -0.220510
9.519413, -8.389283, -0.095768, 0.047884, 0.004261, 0.054328, -0.234358
9.523213, -8.456321, -0.134075, -0.028730, -0.023436, 0.038350, -0.258859
9.527070, -8.437167, -0.201113, -0.105345, -0.063916, 0.015979, -0.260990
9.535094, -8.379706, -0.316035, -0.143652, -0.107592, -0.007457, -0.292948
9.539400, -8.513782, -0.373495, -0.181959, -0.161920, -0.039415, -0.300405
9.543170, -8.590396, -0.507571, -0.124498, -0.224771, -0.061785, -0.301470
9.546837, -8.667010, -0.536301, -0.038307, -0.281230, -0.082025, -0.296144
9.555140, -8.906430, -0.593762, 0.268151, -0.325971, -0.089482, -0.282295
9.559170, -8.963891, -0.584185, 0.440533, -0.355798, -0.104396, -0.258859
9.563187, -9.107543, -0.593762, 0.651223, -0.362190, -0.117179, -0.232228
9.567033, -9.184157, -0.612916, 0.833182, -0.368582, -0.137419, -0.194943
9.575034, -9.174581, -0.555455, 1.292869, -0.333428, -0.134223, -0.162985
9.579346, -9.107543, -0.517148, 1.465251, -0.284426, -0.135289, -0.128897
